IPN,MPN,Manufacturer,Description,Symbol,Footprint,Datasheet,Mouser-PN,DigiKey-PN
CPD-0000-0U4D,PRTR5V0U4D-QH,Nexperia,ESD Protection Diodes / TVS Diodes PRTR5V0U4D-Q/SOT457/SC-74,KiPLM_Symbols:PRTR5V0U4D,Package_SO:TSOP-6_1.65x3.05mm_P0.95mm,https://assets.nexperia.com/documents/data-sheet/PRTR5V0U4D-Q.pdf,771-PRTR5V0U4D-QH,
CPD-0001-M600,FBMH1608HM600-T,TAIYO YUDEN,Ferrite Beads 963-LSMGA160808T600R RPLCMT PN 0603 60OHMS 25%,Device:FerriteBead_Small,Inductor_SMD:L_0603_1608Metric,https://www.mouser.it/datasheet/2/396/TaiyoYuden_chipbeads01_e-1274227.pdf,963-FBMH1608HM600-T,
CPD-0002-58CA,SMAJ58CA,Littelfuse,ESD Protection Diodes / TVS Diodes 400W 58V 5% Bi-Directional,Diode:SMAJ58CA,Diode_SMD:D_SMA,https://www.littelfuse.com/assetdocs/tvs-diodes-smaj-datasheet?assetguid=13C2A823-03B8-4D1F-9DDC-9B44670AED9D,576-SMAJ58CA,
CPD-0003-0000,ESD8104MUTAG,onsemi,ESD Protection Diodes / TVS Diodes LOW CAP ESD PROTECTION,KiPLM_Symbols:ESD8104,KiPLM_Footprints:Onsemi_UDFN-10_1.0x2.5mm_P0.5mm,https://www.onsemi.com/download/data-sheet/pdf/esd8104-d.pdf,863-ESD8104MUTAG,
CPD-0004-0U2X,PRTR5V0U2X-QR,Nexperia,ESD Protection Diodes / TVS Diodes Ultra low capacitance double rail-to-rail ESD protection diode,KiPLM_Symbols:PRTR5V0U2X,Package_TO_SOT_SMD:SOT-143,https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X-Q.pdf,771-PRTR5V0U2X-QR,
CPD-0005-2200,TVS2200DRVR,Texas Instruments,ESD Protection Diodes / TVS Diodes 22V flat-clamp surge protection device 6,Power_Protection:TVS2200DRV,Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,https://www.ti.com/lit/gpn/tvs2200,595-TVS2200DRVR,
CPD-0006-5002,SF-0603FP500-2,Bourns,Surface Mount Fuses 5A 32V FAST ACTING,Device:Fuse_Small,Fuse:Fuse_0603_1608Metric,https://www.mouser.it/datasheet/2/54/SF_0603FP-2933377.pdf,652-SF-0603FP500-2,
CPD-0006-3002,SF-0603FP300-2,Bourns,Surface Mount Fuses 3A 32V FAST ACTING,Device:Fuse_Small,Fuse:Fuse_0603_1608Metric,https://www.mouser.it/datasheet/2/54/bourns_09122017_SF-0603FP_datasheet-1159250.pdf,652-SF-0603FP300-2,
CPD-0006-3152,SF-0603FP315-2,Bourns,Surface Mount Fuses 3.15A 32V FAST ACTING,Device:Fuse_Small,Fuse:Fuse_0603_1608Metric,https://www.mouser.it/datasheet/2/54/SF_0603FP-2933377.pdf,652-SF-0603FP315-2,
CPD-0007-AMX6,ECMF02-2AMX6,STMicroelectronics,Common Mode Chokes / Filters ESD Mode Filter 6GHz USB 2.0 MIPI 8kV,Power_Protection:ECMF02-2AMX6,KiPLM_Footprints:ST_UQFN-6L_1.5x1.7mm_P0.5mm,https://www.st.com/resource/en/datasheet/ecmf02-2amx6.pdf,511-ECMF02-2AMX6,
CPD-0008-0000,742792030,Wurth Elektronik,Ferrite Beads WE-CBF 3mOhms 10K mA805 AEC-Q200,Device:FerriteBead_Small,Inductor_SMD:L_0805_2012Metric,https://www.we-online.com/components/products/datasheet/742792030.pdf,710-742792030,
CPD-0009-2535,ESDA25P35-1U1M,STMicroelectronics,ESD Protection Diodes / TVS 22V,Diode:SM6T6V8A,KiPLM_Footprints:ST_QFN-2L_1.6x1.0mm,https://www.st.com/resource/en/datasheet/esda20p50-1u1m.pdf,511-ESDA25P35-1U1M,
CPD-0009-7120,ESDA7P120-1U1M,STMicroelectronics,ESD Protection Diodes / TVS 5.5V,Diode:SM6T6V8A,KiPLM_Footprints:ST_QFN-2L_1.6x1.0mm,https://www.st.com/resource/en/datasheet/esda20p50-1u1m.pdf,511-ESDA7P120-1U1M,
