IPN,MPN,Manufacturer,Description,Symbol,Footprint,Datasheet,Mouser-PN,DigiKey-PN
ICS-0000-CDRR,LP5813CDRRR,Texas Instruments,LED Lighting Driver ICs Synchronous boost 4 x 3 matrix RGB LED d,KiPLM_Symbols:LP5813,KiPLM_Footprints:WSON-12,https://www.ti.com/lit/gpn/lp5813,595-LP5813CDRRR,296-LP5813CDRRRCT-ND
ICS-0001-6610,LM66100DCKT,Texas Instruments,Hot Swap Voltage Controllers 1.5-V to 5.5-V 1.5- A 0.5-uA IQ ideal d A 595-LM66100DCKR,Power_Management:LM66100DCK,Package_TO_SOT_SMD:SOT-363_SC-70-6,https://www.ti.com/lit/gpn/lm66100,595-LM66100DCKT,
ICS-0002-2116,TPS2116DRLR,Texas Instruments,Power Switch ICs - Power Distribution 1.6-V to 5.5-V 40-m ? 2.5-A low-IQ pr,Power_Management:TPS2116DRL,Package_TO_SOT_SMD:SOT-583-8,https://www.ti.com/lit/gpn/tps2116,595-TPS2116DRLR,
ICS-0003-610L,W6100L,WIZnet,Ethernet ICs 3-in-1 Ethernet Controller : TCP/IP +MAC+PHY,Interface_Ethernet:W5100S-L,Package_QFP:LQFP-48_7x7mm_P0.5mm,https://www.mouser.it/datasheet/2/443/w6100_ds_v104e-1994614.pdf,950-W6100L,
ICS-0004-6GRP,MP2636GR-P,Monolithic Power Systems (MPS),Battery Management 3A Single-Cell Switching Charger with P,KiPLM_Symbols:MP2636,KiPLM_Footprints:MP2636GR,https://www.monolithicpower.com/en/documentview/productdocument/index/version/2/document_type/Datasheet/lang/en/sku/MP2636,946-MP2636GR-P,
ICS-0005-DRLR,LM66200DRLR,Texas Instruments,Power Management Specialised - PMIC 1.6-V to 5.5-V 40-m ? 2.5-A low-IQ du,KiPLM_Symbols:LM66200DRLR,Package_TO_SOT_SMD:SOT-583-8,https://www.ti.com/lit/gpn/lm66200,595-LM66200DRLR,
ICS-0006-0IPT,ENC424J600T-I/PT,Microchip,Ethernet ICs 10/100 Base-T Stand alone Ethernet Ctrlr,KiPLM_Symbols:ENC424J600-PT,Package_QFP:TQFP-44_10x10mm_P0.8mm,https://www.mouser.it/datasheet/2/268/39935c-3443570.pdf,579-ENC424J600T-I/PT,
ICS-0007-8113,XC8113AA01ER-G,Torex Semiconductor,Power Switch ICs - Power Distribution 2ch Load Switch IC with Ideal Diode Function (2ch x 1.0A),KiPLM_Symbols:XC8113,KiPLM_Footprints:USP-8B06,https://product.torexsemi.com/system/files/series/xc8113.pdf,865-XC8113AA01ER-G,
ICS-0008-0JZX,USB2517-JZX,Microchip,USB Interface IC Ultra Fast USB 2.20 Flash Media,KiPLM_Symbols:USB2517,KiPLM_Footprints:QFN-64-1EP_9x9mm_P0.5mm_EP4.7x4.7mm_ThermalVias,https://www.mouser.it/datasheet/2/268/USB2517_USB2517i_Data_Sheet_00001598C-3500106.pdf,886-USB2517-JZX,
ICS-0009-QGJ5,RT9742QGJ5,Richtek,"High-Side Power Switch 0.5A with Active High EN, Discharge Function and GOOD flag",Power_Management:RT9742AGJ5F,Package_TO_SOT_SMD:TSOT-23-5,https://www.mouser.it/datasheet/2/1458/DS9742_10-3104713.pdf,835-RT9742QGJ5,
ICS-0009-GGJ5,RT9742GGJ5,Richtek,"High-Side Power Switch 1.0A with Active High EN, Discharge Function and GOOD flag",Power_Management:RT9742AGJ5F,Package_TO_SOT_SMD:TSOT-23-5,https://www.mouser.it/datasheet/2/1458/DS9742_10-3104713.pdf,835-RT9742GGJ5,
ICS-0009-EGJ5,RT9742EGJ5,Richtek,"High-Side Power Switch 1.5A with Active High EN, Discharge Function and GOOD flag",Power_Management:RT9742AGJ5F,Package_TO_SOT_SMD:TSOT-23-5,https://www.mouser.it/datasheet/2/1458/DS9742_10-3104713.pdf,835-RT9742EGJ5,
ICS-0010-4166,ADUM4166BRIZ,Analog Devices Inc.,Digital Isolators 5kV 480Mbps USB Dig Isolator Periph,KiPLM_Symbols:ADUM4166,Package_SO:SOIC-20W_7.5x15.4mm_P1.27mm,https://www.mouser.it/datasheet/2/609/adum4165_4166-3122065.pdf,584-ADUM4166BRIZ,
ICS-0011-004K,AT24CS04-SSHM-T,Microchip,EEPROM 4-Kbit Serial EEPROM,Memory_EEPROM:AT24CS04-SSHM,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.mouser.it/datasheet/2/268/20006350A-3443542.pdf,556-AT24CS04-SSHM-T,
ICS-0012-00PW,LSF0204PWJ,Nexperia,Translation - Voltage Levels 4-bit bidirectional multi-voltage level translator; open-drain; push-pull,KiPLM_Symbols:LSF0204PWJ,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,https://assets.nexperia.com/documents/data-sheet/LSF0204.pdf,771-LSF0204PWJ,
ICS-0013-EQPW,TXS0108EQPWRQ1,Texas Instruments,Translation - Voltage Levels Automotive eight-bit bidirectional volta,Logic_LevelTranslator:TXS0108EPW,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,https://www.ti.com/lit/gpn/txs0108e-q1,595-TXS0108EQPWRQ1,
ICS-0014-DREF,TPS25730DREFR,Texas Instruments,USB Interface IC TPS25730DREFR SARUMA N BG MCM,Interface_USB:TPS25730D,Package_DFN_QFN:Texas_REF0038A_WQFN-38-2EP_6x4mm_P0.4,https://www.ti.com/lit/gpn/tps25730,595-TPS25730DREFR,
ICS-0015-03PW,TXU0304PWR,Texas Instruments,"Level shifter, fixed direction, 4 channels (3 in, 1 out)",KiPLM_Symbols:TXU0304PW,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,https://www.ti.com/lit/gpn/txu0304,595-TXU0304PWR,
ICS-0016-DRBR,TPS2557DRBR,Texas Instruments,Power Distribution Switch with 0.5V to 5A current limit 2.5V to 6.5V active high EN,KiPLM_Symbols:TPS2557DRB,Package_SON:HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,https://www.ti.com/lit/gpn/tps2556,595-TPS2557DRBR,
ICS-0017-DRBR,TPS2556DRBR,Texas Instruments,Power Distribution Switch with 0.5V to 5A current limit 2.5V to 6.5V active low EN,KiPLM_Symbols:TPS2556DRB,Package_SON:HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,https://www.ti.com/lit/gpn/tps2556,595-TPS2556DRBR,
ICS-0018-00NA,TCKE800NA,Toshiba,Hot Swap Voltage Controller eFuse 4.4V to 18V 5A Auto-Retry 22.2V,KiPLM_Symbols:TCKE8xx,KiPLM_Footprints:Toshiba_WSON10B,https://www.mouser.it/datasheet/2/408/TCKE800NA_datasheet_en_20230707-3043891.pdf,"757-TCKE800NA,RF",
ICS-0019-1M12,TCPP01-M12,STMicroelectronics,USB Interface IC Overvolt protection for USB-C or Power Delivery,KiPLM_Symbols:TCPP01-M12,KiPLM_Footprints:QFN-12-1EP_3x3mm_P0.5mm_EP1.45x1.45mm,https://www.st.com/resource/en/datasheet/tcpp01-m12.pdf,511-TCPP01-M12,
ICS-0020-A1W5,ZXCT180QA1W5-7,Diodes Incorporated,Current Monitor 26V Vin 2.7V to 5.5V Gain x20,KiPLM_Symbols:ZXCT180QAxW5,KiPLM_Footprints:SOT-25-5,https://www.mouser.it/datasheet/2/115/ZXCT180Q-3515325.pdf,621-ZXCT180QA1W5-7,
ICS-0020-A2W5,ZXCT180QA2W5-7,Diodes Incorporated,Current Monitor 26V Vin 2.7V to 5.5V Gain x50,KiPLM_Symbols:ZXCT180QAxW5,KiPLM_Footprints:SOT-25-5,https://www.mouser.it/datasheet/2/115/ZXCT180Q-3515325.pdf,621-ZXCT180QA2W5-7,
ICS-0020-A3W5,ZXCT180QA3W5-7,Diodes Incorporated,Current Monitor 26V Vin 2.7V to 5.5V Gain x100,KiPLM_Symbols:ZXCT180QAxW5,KiPLM_Footprints:SOT-25-5,https://www.mouser.it/datasheet/2/115/ZXCT180Q-3515325.pdf,621-ZXCT180QA3W5-7,
ICS-0020-A4W5,ZXCT180QA4W5-7,Diodes Incorporated,Current Monitor 26V Vin 2.7V to 5.5V Gain x200,KiPLM_Symbols:ZXCT180QAxW5,KiPLM_Footprints:SOT-25-5,https://www.mouser.it/datasheet/2/115/ZXCT180-3515305.pdf,621-ZXCT180A4W5-7,
ICS-0021-2BM2,USB2512B/M2,Microchip,USB 2.0 High Speed Hub Controller,KiPLM_Symbols:USB2512B,Package_DFN_QFN:QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm,https://www.mouser.it/datasheet/3/282/1/USB251xB-xBi-Data-Sheet-DS00001692.pdf,579-USB2512B/M2,
ICS-0021-3BM2,USB2513B/M2,Microchip,USB 2.0 High Speed Hub Controller,KiPLM_Symbols:USB2513B,Package_DFN_QFN:QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm,https://www.mouser.it/datasheet/3/282/1/USB251xB-xBi-Data-Sheet-DS00001692.pdf,579-USB2513B/M2,
ICS-0021-4BM2,USB2514B/M2,Microchip,USB 2.0 High Speed Hub Controller,KiPLM_Symbols:USB2514B,Package_DFN_QFN:QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm,https://www.mouser.it/datasheet/3/282/1/USB251xB-xBi-Data-Sheet-DS00001692.pdf,579-USB2514B/M2,
ICS-0022-DCUR,SN74LVC2T45DCUR,Texas Instruments,Translation - Voltage Levels Dual-Bit Dual Supply Transceiver A 595-SN74LVC2T45DCUT,Logic_LevelTranslator:SN74LVC2T45DCUR,Package_SO:VSSOP-8_2.3x2mm_P0.5mm,https://www.ti.com/lit/gpn/sn74lvc2t45,595-SN74LVC2T45DCUR,
