IPN,MPN,Manufacturer,Description,Symbol,Footprint,Color,I-forward-max,V-forward,Wavelength,Brightness,Package,Datasheet,Mouser-PN,DigiKey-PN
OPT-0000-CMPR,CLV1H-FKB-CMPRTHKBB2367453,Cree LED,Multi-Colour LEDs RGB LED SMD,KiPLM_Symbols:CLV1H-FKB,KiPLM_Footprints:PLCC4_CLV1H-FKB,RGB,20mA,2.9V,465nm,2.4cd,PLCC4,https://www.mouser.it/datasheet/2/723/HB_CLV1H_FKB-3402009.pdf,941-CLV1HBCTKB237453,90-CLV1H-FKB-CMPRTHKBB2367453TR-ND
OPT-0001-YLLW,150060YS55040,Wurth Elektronik,Single Colour LEDs WL-SMCD SMD MonoChip 0603 Yllw 591nm,Device:LED,LED_SMD:LED_0603_1608Metric,Yellow,20mA,2V,591nm,100mcd,,https://www.we-online.com/components/products/datasheet/150060YS55040.pdf,710-150060YS55040,
OPT-0001-AMBR,150060AS55040,Wurth Elektronik,Single Colour LEDs WL-SMCD SMT Mono-color Chip LED Diffused SMT 0603 Amber Type 605nm 110 mcd 2V,Device:LED,LED_SMD:LED_0603_1608Metric,Amber,40mA,2V,605nm,110mcd,,https://www.we-online.com/components/products/datasheet/150060AS55040.pdf,710-150060AS55040,
OPT-0001-SRED,150060SS55040,Wurth Elektronik,Single Colour LEDs WL-SMCD SMD MonoChip 0603 Super Red 645nm,Device:LED,LED_SMD:LED_0603_1608Metric,Red,20mA,2V,645nm,70mcd,,https://www.we-online.com/components/products/datasheet/150060SS55040.pdf,710-150060SS55040,
OPT-0001-NRED,150060RS55040,Wurth Elektronik,Single Colour LEDs WL-SMCD SMD MonoChip 0603 Red 632nm,Device:LED,LED_SMD:LED_0603_1608Metric,Red,20mA,2V,632nm,90mcd,,https://www.we-online.com/components/products/datasheet/150060RS55040.pdf,710-150060RS55040,
OPT-0001-BLUE,150060BS55040,Wurth Elektronik,Single Colour LEDs WL-SMCD SMD Mono SMD 0603 Blue 465nm,Device:LED,LED_SMD:LED_0603_1608Metric,Blue,20mA,3.2V,470nm,80mcd,,https://www.we-online.com/components/products/datasheet/150060BS55040.pdf,710-150060BS55040,
OPT-0001-GREN,150060GS55040,Wurth Elektronik,Single Colour LEDs WL-SMCD SMD Mono SMD 0603 Green 520nm,Device:LED,LED_SMD:LED_0603_1608Metric,Green,20mA,3.2V,525nm,430mcd,,https://www.we-online.com/components/products/datasheet/150060GS55040.pdf,710-150060GS55040,
OPT-0001-BGRN,150060VS55040,Wurth Elektronik,Single Colour LEDs WL-SMCD SMD MonoChip 0603 BrtGrn 575nm,Device:LED,LED_SMD:LED_0603_1608Metric,Green,20mA,2V,575nm,60mcd,,https://www.we-online.com/components/products/datasheet/150060VS55040.pdf,710-150060VS55040,
OPT-0002-NRED,APTD3216SURCK,Kingbright,Single Colour LEDs RED WATER CLEAR DOME LENS,Device:LED,LED_SMD:LED_1206_3216Metric,Red,20mA,1.95V,630nm,1cd,,https://www.mouser.it/datasheet/2/216/APTD3216SURCK-65552.pdf,604-APTD-3216SURCK,
OPT-0002-YLLW,APTD3216SYCK,Kingbright,Single Colour LEDs Yellow Water Clear 590nm 250mcd,Device:LED,LED_SMD:LED_1206_3216Metric,Yellow,20mA,2V,590nm,900mcd,,https://www.mouser.it/datasheet/2/216/APTD3216SYCK-55442.pdf,604-APTD3216SYCK,
OPT-0002-ORAN,APTD3216SECK,Kingbright,Single Colour LEDs ORANGE WATER CLEAR DOME LENS,Device:LED,LED_SMD:LED_1206_3216Metric,Orange,20mA,2.1V,601nm,1.6cd,,https://www.mouser.it/datasheet/2/216/APTD3216SECK-65514.pdf,604-APTD-3216SECK,
OPT-0002-GREN,APTD3216CGCK,Kingbright,Single Colour LEDs Green Water Clear 570nm 200mcd,Device:LED,LED_SMD:LED_1206_3216Metric,Green,20mA,2.1V,570nm,300mcd,,https://www.mouser.it/datasheet/2/216/APTD3216CGCK-65396.pdf,604-APTD3216CGCK,
