IPN,MPN,Manufacturer,Description,Symbol,Footprint,Datasheet,Mouser-PN,DigiKey-PN
SWI-0000-810G,PTS810SJG250SMTR LFS,C&K Switches,Tactile Switches Microminiature SMT Top Actuated,KiPLM_Symbols:SW_Push,KiPLM_Footprints:PTS810,https://ckswitches.com/media/1476/pts810.pdf,611-PTS810SJG250SMTR,
SWI-0001-4310,TS04-66-43-BK-100-SMT,Same Sky,"Tactile Switches 6 x 6 mm, 4.3 mm Act Height, 100 gf, Black, Surface Mount, SPST,",KiPLM_Symbols:SW_Push,KiPLM_Footprints:TS04-66-43,https://www.mouser.it/datasheet/2/1628/ts04-3511092.pdf,179-TS046643BK100SMT,
SWI-0001-4316,TS04-66-43-BK-160-SMT,Same Sky,"Tactile Switches 6 x 6 mm, 4.3 mm Act Height, 160 gf, Black, Surface Mount, SPST,",KiPLM_Symbols:SW_Push,KiPLM_Footprints:TS04-66-43,https://www.mouser.it/datasheet/2/1628/ts04-3511092.pdf,179-TS046643BK160SMT,
SWI-0001-4326,TS04-66-43-BK-260-SMT,Same Sky,"Tactile Switches 6 x 6 mm, 4.3 mm Act Height, 260 gf, Black, Surface Mount, SPST,",KiPLM_Symbols:SW_Push,KiPLM_Footprints:TS04-66-43,https://www.mouser.it/datasheet/2/1628/ts04-3511092.pdf,179-TS046643BK260SMT,
SWI-0001-5010,TS04-66-50-BK-100-SMT,Same Sky,"Tactile Switches 6 x 6 mm, 5.0 mm Act Height, 100 gf, Black, Surface Mount, SPST,",KiPLM_Symbols:SW_Push,KiPLM_Footprints:TS04-66-50,https://www.mouser.it/datasheet/2/1628/ts04-3511092.pdf,179-TS046650BK100SMT,
SWI-0001-5016,TS04-66-50-BK-160-SMT,Same Sky,"Tactile Switches 6 x 6 mm, 5.0 mm Act Height, 160 gf, Black, Surface Mount, SPST,",KiPLM_Symbols:SW_Push,KiPLM_Footprints:TS04-66-50,https://www.mouser.it/datasheet/2/1628/ts04-3511092.pdf,179-TS046650BK160SMT,
SWI-0001-5026,TS04-66-50-BK-260-SMT,Same Sky,"Tactile Switches 6 x 6 mm, 5.0 mm Act Height, 260 gf, Black, Surface Mount, SPST,",KiPLM_Symbols:SW_Push,KiPLM_Footprints:TS04-66-50,https://www.mouser.it/datasheet/2/1628/ts04-3511092.pdf,179-TS046650BK260SMT,
SWI-0001-5510,TS04-66-55-BK-100-SMT,Same Sky,"Tactile Switches 6 x 6 mm, 5.5 mm Act Height, 100 gf, Black, Surface Mount, SPST,",KiPLM_Symbols:SW_Push,KiPLM_Footprints:TS04-66-55,https://www.mouser.it/datasheet/2/1628/ts04-3511092.pdf,179-TS046655BK100SMT,
SWI-0001-5516,TS04-66-55-BK-160-SMT,Same Sky,"Tactile Switches 6 x 6 mm, 5.5 mm Act Height, 160 gf, Black, Surface Mount, SPST,",KiPLM_Symbols:SW_Push,KiPLM_Footprints:TS04-66-55,https://www.mouser.it/datasheet/2/1628/ts04-3511092.pdf,179-TS046655BK160SMT,
SWI-0001-5526,TS04-66-55-BK-260-SMT,Same Sky,"Tactile Switches 6 x 6 mm, 5.5 mm Act Height, 260 gf, Black, Surface Mount, SPST,",KiPLM_Symbols:SW_Push,KiPLM_Footprints:TS04-66-55,https://www.mouser.it/datasheet/2/1628/ts04-3511092.pdf,179-TS046655BK260SMT,
